X,Y
204.628337825472,184.93913269042966
204.6269932698609,184.5111487549069
204.62295965610832,184.08318171545704
204.61623714345447,183.6552484674861
204.60682599729262,183.22736590506588
204.59472658915865,182.79955092026736
204.57993939671655,182.37182040249354
204.56246500373936,181.94419123781296
204.54230410008614,181.51668030829268
204.5194574816749,181.08930449133237
204.49392605045097,180.66208065899738
204.46571081435155,180.23502567735304
204.43481288726585,179.8081564057989
204.40123348899112,179.3814896964028
204.36497394518454,178.95504239323597
204.32603568731076,178.52883133170758
204.28442025258562,178.10287333790072
204.2401292839151,177.67718522790753
204.19316452983088,177.25178380716568
204.14352784442104,176.82668586979491
204.0912211872569,176.40190819793386
204.03624662331578,175.97746756107776
203.97860632289922,175.55338071541607
203.91830256154768,175.12966440317143
203.85533771995037,174.70633535193824
203.78971428385142,174.28341027402263
203.72143484395173,173.86090586578254
203.65050209580664,173.43883880696845
203.57691883971967,173.01722576006526
203.5006879806317,172.59608336963407
203.42181252800657,172.17542826165544
203.34029559571206,171.75527704287262
203.25614040189708,171.33564630013646
203.16935026886458,170.91655259975005
203.07992862294043,170.49801248681516
202.98787899433808,170.08004248457874
202.89320501701926,169.66265909378075
202.79591042855048,169.2458787920029
202.6959990699555,168.82971803301777
202.59347488556367,168.4141932461396
202.48834192285426,167.99932083557545
202.3806043322966,167.58511717977774
202.2702663671863,167.17159863079758
202.1573323834773,166.75878151363915
202.04180683960993,166.34668212561547
201.9236942963348,165.93531673570467
201.80299941653288,165.52470158390807
201.67972696503136,165.11485288060868
201.5538818084156,164.7057868059316
201.42546891483687,164.297519509105
201.29449335381634,163.89006710782272
201.16096029604486,163.48344568760788
201.02487501317893,163.07767130117782
200.88624287763253,162.67275996781066
200.74506936236492,162.26872767271237
200.60136004066482,161.8655903663863
200.45512058593013,161.46336396400292
200.3063567714442,161.06206434477193
200.1550744701476,160.6617073513151
200.00127965440666,160.26230878904107
199.8449783957773,159.8638844255212
199.68617686476557,159.46644998986707
199.524881330584,159.07002117210982
199.36109816090413,158.6746136225802
199.19483382160507,158.2802429512914
199.02609487651821,157.8869247273221
198.85488798716818,157.49467447820246
198.68121991250982,157.10350768930053
198.50509750866138,156.7134398032115
198.32652772863375,156.32448621914747
198.1455176220561,155.93666229233
197.96207433489752,155.54998333338372
197.77620510918482,155.1644646077317
197.58791728271686,154.78012133499323
197.39721828877455,154.39696868838254
197.2041156558277,154.01502179411014
197.00861700723758,153.6342957307853
196.8107300609561,153.25480552882124
196.61046262922108,152.87656616984123
196.40782261824776,152.49959258608752
196.20281802791686,152.12389965983178
195.99545695145855,151.74950222278736
195.7857475751331,151.3764150555241
195.57369817790754,151.0046528868845
195.35931713112902,150.63423039340233
195.14261289819422,150.26516219872354
194.92359403421514,149.89746287302833
194.7022691856816,149.53114693245664
194.47864709011952,149.1662288385344
194.25273657574647,148.80272299760327
194.02454656112263,148.44064376025136
193.79408605479912,148.080005420747
193.56136415496212,147.72082221647435
193.32639004907367,147.36310832737115
193.0891730135092,147.00687787536944
192.84972241319107,146.65214492383734
192.60804770121902,146.2989234770245
192.3641584184968,145.9472274795087
192.11806419335574,145.59707081564585
191.86977474117438,145.24846730902138
191.6192998639953,144.9014307219049
191.36664945013766,144.55597475470663
191.11183347380717,144.21211304543655
190.85486199470236,143.86985916916626
190.59574515761713,143.5292266374927
190.3344931920406,143.19022889800507
190.071116411753,142.85287933375352
189.80562521441863,142.51719126272133
189.53803008117538,142.18317793729864
189.26834157622096,141.85085254375974
188.99657034639569,141.5202282017421
188.72272712076239,141.19131796372855
188.44682271018274,140.86413481453218
188.16886800689045,140.53869167078344
